ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
DLX1	distal-less homeobox 1(DLX1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007219~Notch signaling pathway,GO:0009790~embryo development,GO:0009954~proximal/distal pattern formation,GO:0014016~neuroblast differentiation,GO:0021544~subpallium development,GO:0021766~hippocampus development,GO:0021879~forebrain neuron differentiation,GO:0021893~cerebral cortex GABAergic interneuron fate commitment,GO:0030154~cell differentiation,GO:0030514~negative regulation of BMP signaling pathway,GO:0042475~odontogenesis of dentin-containing tooth,GO:0043524~negative regulation of neuron apoptotic process,GO:0045597~positive regulation of cell differentiation,GO:0045746~negative regulation of Notch signaling pathway,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046533~negative regulation of photoreceptor cell differentiation,GO:0048706~embryonic skeletal system development,GO:0048709~oligodendrocyte differentiation,GO:0048715~negative regulation of oligodendrocyte differentiation,GO:0051402~neuron apoptotic process,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0071773~cellular response to BMP stimulus,GO:1902871~positive regulation of amacrine cell differentiation,GO:1903845~negative regulation of cellular response to transforming growth factor beta stimulus,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0043231~intracellular membrane-bounded organelle,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0005515~protein binding,GO:1990837~sequence-specific double-stranded DNA binding,
ESRP2	epithelial splicing regulatory protein 2(ESRP2)	Homo sapiens	GO:0000380~alternative mRNA splicing, via spliceosome,GO:0043484~regulation of RNA splicing,GO:0050673~epithelial cell proliferation,GO:0050679~positive regulation of epithelial cell proliferation,GO:0060441~epithelial tube branching involved in lung morphogenesis,GO:0060445~branching involved in salivary gland morphogenesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:1990904~ribonucleoprotein complex,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,
EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1(EIF2AK1)	Homo sapiens	GO:0002526~acute inflammatory response,GO:0006909~phagocytosis,GO:0008285~negative regulation of cell proliferation,GO:0010998~regulation of translational initiation by eIF2 alpha phosphorylation,GO:0010999~regulation of eIF2 alpha phosphorylation by heme,GO:0030225~macrophage differentiation,GO:0045993~negative regulation of translational initiation by iron,GO:0046501~protoporphyrinogen IX metabolic process,GO:0046777~protein autophosphorylation,GO:0046986~negative regulation of hemoglobin biosynthetic process,GO:0051649~establishment of localization in cell,GO:0055072~iron ion homeostasis,GO:0060586~multicellular organismal iron ion homeostasis,GO:1990641~response to iron ion starvation,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0003743~translation initiation factor activity,GO:0004672~protein kinase activity,GO:0004694~eukaryotic translation initiation factor 2alpha kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0020037~heme binding,GO:0042803~protein homodimerization activity,
GLMP	glycosylated lysosomal membrane protein(GLMP)	Homo sapiens	GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050821~protein stabilization,GO:0061462~protein localization to lysosome,	GO:0005634~nucleus,GO:0005764~lysosome,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,
HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2(HNRNPA1L2)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0051028~mRNA transport,	GO:0005681~spliceosomal complex,GO:0005737~cytoplasm,GO:0071013~catalytic step 2 spliceosome,	GO:0003723~RNA binding,GO:0003730~mRNA 3'-UTR binding,
HINT1	histidine triad nucleotide binding protein 1(HINT1)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0007165~signal transduction,GO:0009154~purine ribonucleotide catabolic process,GO:0016926~protein desumoylation,GO:0050850~positive regulation of calcium-mediated signaling,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,	GO:0000118~histone deacetylase complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,	GO:0000166~nucleotide binding,GO:0003824~catalytic activity,GO:0005080~protein kinase C binding,GO:0005515~protein binding,GO:0016787~hydrolase activity,GO:0016929~SUMO-specific protease activity,GO:0043530~adenosine 5'-monophosphoramidase activity,GO:0070140~SUMO-specific isopeptidase activity,
MR1	major histocompatibility complex, class I-related(MR1)	Homo sapiens	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002854~positive regulation of T cell mediated cytotoxicity directed against tumor cell target,GO:0006955~immune response,GO:0019884~antigen processing and presentation of exogenous antigen,GO:0033077~T cell differentiation in thymus,GO:0045087~innate immune response,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,	GO:0000139~Golgi membrane,GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0031901~early endosome membrane,GO:0031902~late endosome membrane,GO:0042612~MHC class I protein complex,	GO:0005515~protein binding,GO:0030881~beta-2-microglobulin binding,GO:0032393~MHC class I receptor activity,GO:0042608~T cell receptor binding,
MRPL33	mitochondrial ribosomal protein L33(MRPL33)	Homo sapiens	GO:0006412~translation,GO:0032543~mitochondrial translation,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005762~mitochondrial large ribosomal subunit,	GO:0003735~structural constituent of ribosome,
MTERF4	mitochondrial transcription termination factor 4(MTERF4)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0006364~rRNA processing,GO:0006390~transcription from mitochondrial promoter,GO:0006626~protein targeting to mitochondrion,GO:0007507~heart development,GO:0042255~ribosome assembly,GO:0043010~camera-type eye development,GO:0061668~mitochondrial ribosome assembly,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005762~mitochondrial large ribosomal subunit,GO:0005829~cytosol,	GO:0003690~double-stranded DNA binding,GO:0005515~protein binding,GO:0019843~rRNA binding,
NUDT12	nudix hydrolase 12(NUDT12)	Homo sapiens	GO:0006402~mRNA catabolic process,GO:0006734~NADH metabolic process,GO:0006742~NADP catabolic process,GO:0019677~NAD catabolic process,GO:0032922~circadian regulation of gene expression,GO:0034356~NAD biosynthesis via nicotinamide riboside salvage pathway,GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005777~peroxisome,GO:0005782~peroxisomal matrix,	GO:0000210~NAD+ diphosphatase activity,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0035529~NADH pyrophosphatase activity,GO:1990174~phosphodiesterase decapping endonuclease activity,
OPRK1	opioid receptor kappa 1(OPRK1)	Homo sapiens	GO:0006955~immune response,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007218~neuropeptide signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007600~sensory perception,GO:0007626~locomotory behavior,GO:0009314~response to radiation,GO:0019233~sensory perception of pain,GO:0031635~adenylate cyclase-inhibiting opioid receptor signaling pathway,GO:0032868~response to insulin,GO:0033603~positive regulation of dopamine secretion,GO:0033685~negative regulation of luteinizing hormone secretion,GO:0038003~opioid receptor signaling pathway,GO:0040017~positive regulation of locomotion,GO:0042711~maternal behavior,GO:0042755~eating behavior,GO:0043278~response to morphine,GO:0043627~response to estrogen,GO:0044849~estrous cycle,GO:0045471~response to ethanol,GO:0046877~regulation of saliva secretion,GO:0048148~behavioral response to cocaine,GO:0050951~sensory perception of temperature stimulus,GO:0051607~defense response to virus,GO:0051930~regulation of sensory perception of pain,GO:0071222~cellular response to lipopolysaccharide,GO:0071333~cellular response to glucose stimulus,GO:1900745~positive regulation of p38MAPK cascade,GO:1901381~positive regulation of potassium ion transmembrane transport,GO:1903937~response to acrylamide,GO:1904000~positive regulation of eating behavior,GO:1990708~conditioned place preference,	GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030285~integral component of synaptic vesicle membrane,GO:0030425~dendrite,GO:0030672~synaptic vesicle membrane,GO:0042734~presynaptic membrane,GO:0043005~neuron projection,GO:0043204~perikaryon,GO:0043679~axon terminus,GO:0045211~postsynaptic membrane,GO:0099055~integral component of postsynaptic membrane,GO:0099056~integral component of presynaptic membrane,	GO:0004930~G-protein coupled receptor activity,GO:0004985~opioid receptor activity,GO:0005515~protein binding,GO:0033612~receptor serine/threonine kinase binding,GO:0038048~dynorphin receptor activity,GO:0042277~peptide binding,GO:0042923~neuropeptide binding,
PEX2	peroxisomal biogenesis factor 2(PEX2)	Homo sapiens	GO:0000038~very long-chain fatty acid metabolic process,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000425~macropexophagy,GO:0006513~protein monoubiquitination,GO:0006635~fatty acid beta-oxidation,GO:0007031~peroxisome organization,GO:0016558~protein import into peroxisome matrix,GO:0016562~protein import into peroxisome matrix, receptor recycling,GO:0031648~protein destabilization,GO:0034614~cellular response to reactive oxygen species,GO:0044721~protein import into peroxisome matrix, substrate release,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:1990928~response to amino acid starvation,	GO:0005778~peroxisomal membrane,GO:0005779~integral component of peroxisomal membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016593~Cdc73/Paf1 complex,	GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0008320~protein transmembrane transporter activity,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,
PRPF38B	pre-mRNA processing factor 38B(PRPF38B)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0035556~intracellular signal transduction,	GO:0071011~precatalytic spliceosome,	GO:0003723~RNA binding,GO:0005085~guanyl-nucleotide exchange factor activity,
PPP4R2	protein phosphatase 4 regulatory subunit 2(PPP4R2)	Homo sapiens	GO:0006397~mRNA processing,GO:0006464~cellular protein modification process,GO:0006470~protein dephosphorylation,GO:0008380~RNA splicing,GO:0010569~regulation of double-strand break repair via homologous recombination,GO:0016576~histone dephosphorylation,GO:0033128~negative regulation of histone phosphorylation,GO:0036211~protein modification process,GO:2000779~regulation of double-strand break repair,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0030289~protein phosphatase 4 complex,	GO:0005515~protein binding,GO:0019888~protein phosphatase regulator activity,GO:0030674~protein binding, bridging,
RPL22L1	ribosomal protein L22 like 1(RPL22L1)	Homo sapiens	GO:0002181~cytoplasmic translation,GO:0006412~translation,	GO:0005737~cytoplasm,GO:0005840~ribosome,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005515~protein binding,
RPL32	ribosomal protein L32(RPL32)	Homo sapiens	GO:0002181~cytoplasmic translation,GO:0006412~translation,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0016020~membrane,GO:0022625~cytosolic large ribosomal subunit,GO:0022626~cytosolic ribosome,GO:0042788~polysomal ribosome,GO:0045202~synapse,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,
RPS12	ribosomal protein S12(RPS12)	Homo sapiens	GO:0002181~cytoplasmic translation,GO:0006412~translation,GO:0042274~ribosomal small subunit biogenesis,GO:0090263~positive regulation of canonical Wnt signaling pathway,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0016020~membrane,GO:0022626~cytosolic ribosome,GO:0022627~cytosolic small ribosomal subunit,GO:0032040~small-subunit processome,GO:0043231~intracellular membrane-bounded organelle,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005515~protein binding,
RPS16	ribosomal protein S16(RPS16)	Homo sapiens	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),GO:0002181~cytoplasmic translation,GO:0006364~rRNA processing,GO:0006412~translation,GO:0042274~ribosomal small subunit biogenesis,GO:1990830~cellular response to leukemia inhibitory factor,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0005925~focal adhesion,GO:0015935~small ribosomal subunit,GO:0016020~membrane,GO:0022626~cytosolic ribosome,GO:0022627~cytosolic small ribosomal subunit,GO:0032040~small-subunit processome,GO:0045202~synapse,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005515~protein binding,
RPS27A	ribosomal protein S27a(RPS27A)	Homo sapiens	GO:0002181~cytoplasmic translation,GO:0006412~translation,GO:0016567~protein ubiquitination,GO:0019941~modification-dependent protein catabolic process,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005741~mitochondrial outer membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005840~ribosome,GO:0005886~plasma membrane,GO:0010008~endosome membrane,GO:0015935~small ribosomal subunit,GO:0016020~membrane,GO:0022626~cytosolic ribosome,GO:0022627~cytosolic small ribosomal subunit,GO:0030666~endocytic vesicle membrane,GO:0031982~vesicle,GO:0032040~small-subunit processome,GO:0043229~intracellular organelle,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005515~protein binding,GO:0031386~protein tag,GO:0031625~ubiquitin protein ligase binding,GO:0046872~metal ion binding,
SRSF5	serine and arginine rich splicing factor 5(SRSF5)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006376~mRNA splice site selection,GO:0006397~mRNA processing,GO:0032869~cellular response to insulin stimulus,GO:0033120~positive regulation of RNA splicing,GO:0051726~regulation of cell cycle,GO:0097421~liver regeneration,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0016607~nuclear speck,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,GO:0043422~protein kinase B binding,
SRSF6	serine and arginine rich splicing factor 6(SRSF6)	Homo sapiens	GO:0000380~alternative mRNA splicing, via spliceosome,GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0000398~mRNA splicing, via spliceosome,GO:0006376~mRNA splice site selection,GO:0010837~regulation of keratinocyte proliferation,GO:0032868~response to insulin,GO:0045617~negative regulation of keratinocyte differentiation,GO:0048025~negative regulation of mRNA splicing, via spliceosome,GO:0060501~positive regulation of epithelial cell proliferation involved in lung morphogenesis,GO:0060548~negative regulation of cell death,GO:0061041~regulation of wound healing,GO:2000675~negative regulation of type B pancreatic cell apoptotic process,	GO:0005654~nucleoplasm,GO:0016607~nuclear speck,	GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,GO:0036002~pre-mRNA binding,
STYK1	serine/threonine/tyrosine kinase 1(STYK1)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0030154~cell differentiation,GO:0042981~regulation of apoptotic process,GO:0045087~innate immune response,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,	GO:0004672~protein kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,
SGK1	serum/glucocorticoid regulated kinase 1(SGK1)	Homo sapiens	GO:0001558~regulation of cell growth,GO:0006468~protein phosphorylation,GO:0006814~sodium ion transport,GO:0006915~apoptotic process,GO:0006974~cellular response to DNA damage stimulus,GO:0007616~long-term memory,GO:0008217~regulation of blood pressure,GO:0018105~peptidyl-serine phosphorylation,GO:0030334~regulation of cell migration,GO:0032411~positive regulation of transporter activity,GO:0035556~intracellular signal transduction,GO:0042127~regulation of cell proliferation,GO:0042981~regulation of apoptotic process,GO:0048812~neuron projection morphogenesis,GO:0050790~regulation of catalytic activity,GO:0051090~regulation of sequence-specific DNA binding transcription factor activity,GO:0060453~regulation of gastric acid secretion,GO:0070294~renal sodium ion absorption,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904045~cellular response to aldosterone,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016607~nuclear speck,	GO:0004674~protein serine/threonine kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0005246~calcium channel regulator activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015459~potassium channel regulator activity,GO:0016301~kinase activity,GO:0017080~sodium channel regulator activity,GO:0017081~chloride channel regulator activity,GO:0035091~phosphatidylinositol binding,
SSH2	slingshot protein phosphatase 2(SSH2)	Homo sapiens	GO:0006470~protein dephosphorylation,GO:0030036~actin cytoskeleton organization,GO:0030335~positive regulation of cell migration,GO:0030837~negative regulation of actin filament polymerization,	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005856~cytoskeleton,	GO:0003779~actin binding,GO:0004721~phosphoprotein phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,GO:0016791~phosphatase activity,GO:0017018~myosin phosphatase activity,
SNRPB2	small nuclear ribonucleoprotein polypeptide B2(SNRPB2)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:1903241~U2-type prespliceosome assembly,	GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005685~U1 snRNP,GO:0005686~U2 snRNP,GO:0016607~nuclear speck,GO:0036464~cytoplasmic ribonucleoprotein granule,GO:0071005~U2-type precatalytic spliceosome,GO:0071007~U2-type catalytic step 2 spliceosome,GO:0071013~catalytic step 2 spliceosome,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0030619~U1 snRNA binding,GO:0070990~snRNP binding,
SLC25A25	solute carrier family 25 member 25(SLC25A25)	Homo sapiens	GO:0002021~response to dietary excess,GO:0014823~response to activity,GO:0015866~ADP transport,GO:0015867~ATP transport,GO:0032094~response to food,GO:0035264~multicellular organism growth,GO:0043010~camera-type eye development,GO:0045333~cellular respiration,GO:0046034~ATP metabolic process,GO:0055085~transmembrane transport,GO:0060612~adipose tissue development,GO:0070588~calcium ion transmembrane transport,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0016021~integral component of membrane,	GO:0005347~ATP transmembrane transporter activity,GO:0005509~calcium ion binding,
TIGD6	tigger transposable element derived 6(TIGD6)	Homo sapiens		GO:0005634~nucleus,	GO:0003677~DNA binding,
TRPV6	transient receptor potential cation channel subfamily V member 6(TRPV6)	Homo sapiens	GO:0006816~calcium ion transport,GO:0017158~regulation of calcium ion-dependent exocytosis,GO:0035898~parathyroid hormone secretion,GO:0051592~response to calcium ion,GO:0055074~calcium ion homeostasis,GO:0070588~calcium ion transmembrane transport,GO:0098703~calcium ion import across plasma membrane,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0034704~calcium channel complex,	GO:0005216~ion channel activity,GO:0005262~calcium channel activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0042802~identical protein binding,GO:0046872~metal ion binding,
TMEM79	transmembrane protein 79(TMEM79)	Homo sapiens	GO:0002070~epithelial cell maturation,GO:0031069~hair follicle morphogenesis,GO:0042335~cuticle development,GO:0045055~regulated exocytosis,GO:0045684~positive regulation of epidermis development,GO:0061436~establishment of skin barrier,GO:0070268~cornification,	GO:0005765~lysosomal membrane,GO:0016021~integral component of membrane,GO:0032588~trans-Golgi network membrane,	GO:0005515~protein binding,GO:0042802~identical protein binding,
TPD52	tumor protein D52(TPD52)	Homo sapiens	GO:0009653~anatomical structure morphogenesis,GO:0030183~B cell differentiation,GO:0046903~secretion,	GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0048471~perinuclear region of cytoplasm,	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,
UBE4A	ubiquitination factor E4A(UBE4A)	Homo sapiens	GO:0000209~protein polyubiquitination,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0030433~ubiquitin-dependent ERAD pathway,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0005515~protein binding,GO:0034450~ubiquitin-ubiquitin ligase activity,
ZBTB1	zinc finger and BTB domain containing 1(ZBTB1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001817~regulation of cytokine production,GO:0002682~regulation of immune system process,GO:0002711~positive regulation of T cell mediated immunity,GO:0006281~DNA repair,GO:0006338~chromatin remodeling,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006974~cellular response to DNA damage stimulus,GO:0019985~translesion synthesis,GO:0030154~cell differentiation,GO:0030183~B cell differentiation,GO:0032825~positive regulation of natural killer cell differentiation,GO:0033077~T cell differentiation in thymus,GO:0034644~cellular response to UV,GO:0042789~mRNA transcription from RNA polymerase II promoter,GO:0045087~innate immune response,GO:0045582~positive regulation of T cell differentiation,GO:0048538~thymus development,GO:0051260~protein homooligomerization,GO:2000176~positive regulation of pro-T cell differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005813~centrosome,GO:0016604~nuclear body,GO:0031965~nuclear membrane,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,GO:0046982~protein heterodimerization activity,GO:0070530~K63-linked polyubiquitin binding,
ZBTB21	zinc finger and BTB domain containing 21(ZBTB21)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0045892~negative regulation of transcription, DNA-templated,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0005515~protein binding,GO:0008327~methyl-CpG binding,GO:0031208~POZ domain binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,
ZNF697	zinc finger protein 697(ZNF697)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0046872~metal ion binding
